time_wall,time_perf,arrival_perf,rel_time,can_id,dlc,data
1778594556.113516,1867119.805224,1867119.803250,24.617908,0x396,7,00 00 3A 55 00 00 3C
1778594556.297615,1867119.989323,1867119.989215,24.802007,0x17C,7,00 05 08 80 00 00 26
1778594556.297737,1867119.989446,1867119.989230,24.802130,0x191,8,08 00 80 83 7E 04 7F 21
1778594556.297821,1867119.989529,1867119.989232,24.802213,0x1DC,7,02 05 08 00 00 00 1E
1778594556.297858,1867119.989567,1867119.989233,24.802251,0x1ED,3,01 FF 1C
1778594556.297885,1867119.989593,1867119.989235,24.802277,0x1AB,3,00 00 20
1778594556.297941,1867119.989649,1867119.989236,24.802333,0x91,8,9A 33 88 76 07 00 00 10
1778594556.297989,1867119.989697,1867119.989237,24.802381,0x1A4,8,00 67 00 00 00 00 00 2A
1778594556.298048,1867119.989756,1867119.989239,24.802440,0x1FB,1,1C
1778594556.298087,1867119.989796,1867119.989241,24.802480,0x1B0,7,80 1F 00 00 00 01 21
1778594556.298148,1867119.989856,1867119.989243,24.802540,0x1D0,8,0A 12 10 E0 26 C0 3E 63
1778594556.298201,1867119.989909,1867119.989246,24.802593,0x1EA,8,00 00 00 53 00 00 00 25
1778594556.298249,1867119.989957,1867119.989248,24.802641,0x1AC,8,7F FF 00 00 00 00 00 2B
1778594556.298274,1867119.989982,1867119.989249,24.802666,0x39,3,00 00 2A
1778594556.298301,1867119.990010,1867119.989251,24.802694,0x130,8,00 8D 00 48 07 00 04 35
1778594556.298351,1867119.990060,1867119.989254,24.802744,0x158,8,04 B5 00 00 04 A7 19 34
1778594556.298406,1867119.990115,1867119.989255,24.802799,0x156,6,0B 4B FF 74 07 3F
1778594556.298475,1867119.990183,1867119.989260,24.802867,0x1A6,8,00 00 40 13 BB 01 00 17
1778594556.298502,1867119.990210,1867119.989261,24.802895,0x221,4,21 00 00 3D
1778594556.298528,1867119.990237,1867119.989262,24.802921,0x294,8,00 16 01 00 2A 44 00 3A
1778594556.298553,1867119.990262,1867119.989263,24.802946,0x295,4,00 00 00 35
1778594556.298622,1867119.990330,1867119.989266,24.803015,0x305,7,80 14 00 00 00 00 30
1778594556.299039,1867119.990747,1867119.990528,24.803431,0x255,8,0D 0A 0C 0A 55 55 F1 38
1778594556.299227,1867119.990936,1867119.990545,24.803620,0x320,8,00 00 00 00 00 00 00 30
1778594556.299257,1867119.990965,1867119.990547,24.803649,0x324,8,7E 71 42 74 00 ED 80 3B
1778594556.299329,1867119.991038,1867119.990548,24.803722,0x328,8,00 00 00 00 00 80 00 6D
1778594556.299368,1867119.991076,1867119.990551,24.803760,0x551,5,00 00 00 06 07
1778594556.299711,1867119.991420,1867119.990605,24.804104,0x309,8,00 00 00 00 04 ED 00 58
1778594556.299782,1867119.991490,1867119.990606,24.804175,0x372,2,20 19
1778594556.299809,1867119.991517,1867119.990607,24.804202,0x374,7,55 00 00 00 00 00 1F
1778594556.299875,1867119.991584,1867119.990608,24.804268,0x37B,8,30 00 00 20 00 00 00 1D
1778594556.299929,1867119.991637,1867119.990609,24.804321,0x396,7,00 00 3A 55 00 00 1E
1778594556.299956,1867119.991664,1867119.990610,24.804348,0x428,7,00 00 00 00 00 00 37
1778594556.484537,1867120.176245,1867120.176030,24.988930,0x91,8,98 33 88 2E 03 00 00 31
1778594556.484618,1867120.176327,1867120.176044,24.989011,0x1FB,1,2B
1778594556.484649,1867120.176358,1867120.176046,24.989042,0x1A4,8,00 67 00 00 00 00 00 39
1778594556.484714,1867120.176422,1867120.176049,24.989106,0x1B0,7,80 1F 00 00 00 01 30
1778594556.484769,1867120.176478,1867120.176051,24.989162,0x1D0,8,09 F6 11 2C 26 C0 3F CA
1778594556.484823,1867120.176531,1867120.176054,24.989215,0x1EA,8,00 00 00 F7 00 00 00 36
1778594556.484871,1867120.176579,1867120.176056,24.989263,0x1AC,8,7F FF 00 00 00 00 00 3A
1778594556.484899,1867120.176608,1867120.176058,24.989292,0x255,8,0C 0B 0C 0A 55 55 F5 34
1778594556.484965,1867120.176673,1867120.176061,24.989357,0x130,8,00 6F 00 46 07 00 04 19
1778594556.485038,1867120.176746,1867120.176063,24.989431,0x158,8,04 BB 00 00 04 AE 19 19
1778594556.485108,1867120.176817,1867120.176065,24.989501,0x156,6,09 E3 FF 24 07 16
1778594556.485162,1867120.176869,1867120.176066,24.989554,0x17C,7,00 04 DE 80 00 00 15
1778594556.485238,1867120.176946,1867120.176068,24.989630,0x191,8,08 00 80 81 7C 04 7F 16
1778594556.485320,1867120.177029,1867120.176069,24.989713,0x1A6,8,00 00 40 13 BB 01 00 26
1778594556.485403,1867120.177111,1867120.176080,24.989796,0x1DC,7,02 04 DE 00 00 00 3A
1778594556.485431,1867120.177139,1867120.176081,24.989823,0x1ED,3,01 FF 3A
1778594556.485455,1867120.177163,1867120.176082,24.989847,0x1AB,3,00 1F 02
1778594556.485586,1867120.177294,1867120.176093,24.989978,0x39,3,00 00 39
1778594556.485666,1867120.177374,1867120.176103,24.990059,0x221,4,21 00 00 00
1778594556.485693,1867120.177402,1867120.176104,24.990086,0x294,8,00 16 01 00 2A 44 00 0D
1778594556.485720,1867120.177428,1867120.176106,24.990112,0x295,4,00 00 00 08
1778594556.485755,1867120.177463,1867120.176108,24.990147,0x305,7,80 14 00 00 00 00 12
1778594556.486059,1867120.177768,1867120.176150,24.990452,0x320,8,00 00 00 00 00 00 00 12
1778594556.486089,1867120.177797,1867120.176151,24.990481,0x324,8,7E 71 42 75 00 F2 80 16
